"value","adm1","adm2","adm2_code","year","unit","type","class1","class2"
"5209045","Seoul","Gangnam-gu",11230,2020,"million KRW","tax","income","general"
"461088","Seoul","Gangdong-gu",11250,2020,"million KRW","tax","income","general"
"107037","Seoul","Gangbuk-gu",11090,2020,"million KRW","tax","income","general"
"436565","Seoul","Gangseo-gu",11160,2020,"million KRW","tax","income","general"
"254329","Seoul","Gwanak-gu",11210,2020,"million KRW","tax","income","general"
"474605","Seoul","Gwangjin-gu",11050,2020,"million KRW","tax","income","general"
"262659","Seoul","Guro-gu",11170,2020,"million KRW","tax","income","general"
"105591","Seoul","Geumcheon-gu",11180,2020,"million KRW","tax","income","general"
"297600","Seoul","Nowon-gu",11110,2020,"million KRW","tax","income","general"
"144951","Seoul","Dobong-gu",11100,2020,"million KRW","tax","income","general"
"250719","Seoul","Dongdaemun-gu",11060,2020,"million KRW","tax","income","general"
"420219","Seoul","Dongjak-gu",11200,2020,"million KRW","tax","income","general"
"633352","Seoul","Mapo-gu",11140,2020,"million KRW","tax","income","general"
"326928","Seoul","Seodaemun-gu",11130,2020,"million KRW","tax","income","general"
"3345819","Seoul","Seocho-gu",11220,2020,"million KRW","tax","income","general"
"714799","Seoul","Seongdong-gu",11040,2020,"million KRW","tax","income","general"
"666520","Seoul","Seongbuk-gu",11080,2020,"million KRW","tax","income","general"
"1710356","Seoul","Songpa-gu",11240,2020,"million KRW","tax","income","general"
"787126","Seoul","Yangcheon-gu",11150,2020,"million KRW","tax","income","general"
"665509","Seoul","Yeongdeungpo-gu",11190,2020,"million KRW","tax","income","general"
"2354463","Seoul","Yongsan-gu",11030,2020,"million KRW","tax","income","general"
"285843","Seoul","Eunpyeong-gu",11120,2020,"million KRW","tax","income","general"
"539700","Seoul","Jongno-gu",11010,2020,"million KRW","tax","income","general"
"299214","Seoul","Jung-gu",11020,2020,"million KRW","tax","income","general"
"169218","Seoul","Jungnang-gu",11070,2020,"million KRW","tax","income","general"
"36565","Incheon","Ganghwa-gun",23510,2020,"million KRW","tax","income","general"
"112387","Incheon","Gyeyang-gu",23070,2020,"million KRW","tax","income","general"
"270484","Incheon","Namdong-gu",23050,2020,"million KRW","tax","income","general"
"16573","Incheon","Dong-gu",23020,2020,"million KRW","tax","income","general"
"150120","Incheon","Michuhol-gu",23090,2020,"million KRW","tax","income","general"
"233011","Incheon","Bupyeong-gu",23060,2020,"million KRW","tax","income","general"
"406608","Incheon","Seo-gu",23080,2020,"million KRW","tax","income","general"
"672199","Incheon","Yeonsu-gu",23040,2020,"million KRW","tax","income","general"
"10279","Incheon","Ongjin-gun",23520,2020,"million KRW","tax","income","general"
"85839","Incheon","Jung-gu",23010,2020,"million KRW","tax","income","general"
"38006","Gyeonggi-do","Gapyeong-gun",31570,2020,"million KRW","tax","income","general"
"1019249","Gyeonggi-do","Goyang-si",31100,2020,"million KRW","tax","income","general"
"249368","Gyeonggi-do","Gwacheon-si",31110,2020,"million KRW","tax","income","general"
"245157","Gyeonggi-do","Gwangmyeong-si",31060,2020,"million KRW","tax","income","general"
"279973","Gyeonggi-do","Gwangju-si",31250,2020,"million KRW","tax","income","general"
"131290","Gyeonggi-do","Guri-si",31120,2020,"million KRW","tax","income","general"
"205721","Gyeonggi-do","Gunpo-si",31160,2020,"million KRW","tax","income","general"
"354454","Gyeonggi-do","Gimpo-si",31230,2020,"million KRW","tax","income","general"
"517017","Gyeonggi-do","Namyangju-si",31130,2020,"million KRW","tax","income","general"
"26798","Gyeonggi-do","Dongducheon-si",31080,2020,"million KRW","tax","income","general"
"539062","Gyeonggi-do","Bucheon-si",31050,2020,"million KRW","tax","income","general"
"2179084","Gyeonggi-do","Seongnam-si",31020,2020,"million KRW","tax","income","general"
"1087486","Gyeonggi-do","Suwon-si",31010,2020,"million KRW","tax","income","general"
"296866","Gyeonggi-do","Siheung-si",31150,2020,"million KRW","tax","income","general"
"364163","Gyeonggi-do","Ansan-si",31090,2020,"million KRW","tax","income","general"
"108898","Gyeonggi-do","Anseong-si",31220,2020,"million KRW","tax","income","general"
"499915","Gyeonggi-do","Anyang-si",31040,2020,"million KRW","tax","income","general"
"125667","Gyeonggi-do","Yangju-si",31260,2020,"million KRW","tax","income","general"
