"","sido_kr","sigungu_kr","sigungu_1_kr","sigungu_2_kr","sido_en","sigun_en","sigungu_1_en","sigungu_2_en","sdsgg_en","base_year","tax_exclude","sigungu_cd","sgg_tax_global","sgg_tax_income","sgg_industry"
"1","서울특별시","종로구","종로구","종로구","Seoul","Jongno-gu","Jongno-gu","Jongno-gu","Jongno-gu Seoul",2020,NA,11010,"A0223","A0123",11010
"2","서울특별시","중구","중구","중구","Seoul","Jung-gu","Jung-gu","Jung-gu","Jung-gu Seoul",2020,NA,11020,"A0224","A0124",11020
"3","서울특별시","용산구","용산구","용산구","Seoul","Yongsan-gu","Yongsan-gu","Yongsan-gu","Yongsan-gu Seoul",2020,NA,11030,"A0221","A0121",11030
"4","서울특별시","성동구","성동구","성동구","Seoul","Seongdong-gu","Seongdong-gu","Seongdong-gu","Seongdong-gu Seoul",2020,NA,11040,"A0216","A0116",11040
"5","서울특별시","광진구","광진구","광진구","Seoul","Gwangjin-gu","Gwangjin-gu","Gwangjin-gu","Gwangjin-gu Seoul",2020,NA,11050,"A0206","A0106",11050
"6","서울특별시","동대문구","동대문구","동대문구","Seoul","Dongdaemun-gu","Dongdaemun-gu","Dongdaemun-gu","Dongdaemun-gu Seoul",2020,NA,11060,"A0211","A0111",11060
"7","서울특별시","중랑구","중랑구","중랑구","Seoul","Jungnang-gu","Jungnang-gu","Jungnang-gu","Jungnang-gu Seoul",2020,NA,11070,"A0225","A0125",11070
"8","서울특별시","성북구","성북구","성북구","Seoul","Seongbuk-gu","Seongbuk-gu","Seongbuk-gu","Seongbuk-gu Seoul",2020,NA,11080,"A0217","A0117",11080
"9","서울특별시","강북구","강북구","강북구","Seoul","Gangbuk-gu","Gangbuk-gu","Gangbuk-gu","Gangbuk-gu Seoul",2020,NA,11090,"A0203","A0103",11090
"10","서울특별시","도봉구","도봉구","도봉구","Seoul","Dobong-gu","Dobong-gu","Dobong-gu","Dobong-gu Seoul",2020,NA,11100,"A0210","A0110",11100
"11","서울특별시","노원구","노원구","노원구","Seoul","Nowon-gu","Nowon-gu","Nowon-gu","Nowon-gu Seoul",2020,NA,11110,"A0209","A0109",11110
"12","서울특별시","은평구","은평구","은평구","Seoul","Eunpyeong-gu","Eunpyeong-gu","Eunpyeong-gu","Eunpyeong-gu Seoul",2020,NA,11120,"A0222","A0122",11120
"13","서울특별시","서대문구","서대문구","서대문구","Seoul","Seodaemun-gu","Seodaemun-gu","Seodaemun-gu","Seodaemun-gu Seoul",2020,NA,11130,"A0214","A0114",11130
"14","서울특별시","마포구","마포구","마포구","Seoul","Mapo-gu","Mapo-gu","Mapo-gu","Mapo-gu Seoul",2020,NA,11140,"A0213","A0113",11140
"15","서울특별시","양천구","양천구","양천구","Seoul","Yangcheon-gu","Yangcheon-gu","Yangcheon-gu","Yangcheon-gu Seoul",2020,NA,11150,"A0219","A0119",11150
